total_return,win_rate,profit_factor,max_drawdown,sharpe_ratio,total_trades,winning_trades,losing_trades,avg_win,avg_loss,final_capital,coin
-5.1686460205694855,47.22222222222222,0.8805207187024647,24.945448326953738,-0.48662410947888046,36,17,19,224.06542492634327,227.68299083183075,9483.135397943051,BTC/USDT
5.736834309726582,50.98039215686274,1.0560774397099144,26.828333164570882,0.5309279585612348,102,52,50,207.7669915442123,204.6040025865276,10573.683430972658,ETH/USDT
-1.6010950023958865,45.21739130434783,0.9884226416166364,41.717457580709784,0.14600275184143618,115,52,63,262.87359598858075,219.51645224834584,9839.890499760411,BNB/USDT
-15.598027275984242,50.3448275862069,0.9179173728974271,32.6023970893339,-0.2850166859384924,145,73,72,225.08795085358983,248.62169420855363,8440.197272401576,SOL/USDT
28.397806780747416,48.795180722891565,1.1568286960498566,25.079357489079435,1.0418567695277505,166,81,85,260.0709135360246,214.23421043846486,12839.780678074741,XRP/USDT
24.181230555446216,43.82716049382716,1.0978715264038508,35.70819407060783,0.7830783471356235,162,71,91,338.6951339854734,240.69905871886922,12418.123055544622,ADA/USDT
-14.396238983760067,49.47916666666667,0.9349236211083094,40.24001989606786,-0.09129705957290103,192,95,97,217.70990868953308,228.06252808125421,8560.376101623993,AVAX/USDT
29.05552080370684,46.231155778894475,1.1053153319324316,28.51938762688836,0.8923711856477625,199,92,107,341.0453613459238,265.29557266550864,12905.552080370684,DOGE/USDT
13.243263117071146,44.776119402985074,1.0650031532518391,26.921912629823563,0.6193559274116842,134,60,74,321.36038418453063,244.6588752977319,11324.326311707115,DOT/USDT
-7.350744752383907,41.86046511627907,0.941050753964187,25.693055575821823,-0.12301025177378708,129,54,75,218.1226932254832,166.88615195384517,9264.92552476161,POL/USDT
-4.7396648495995395,41.66666666666667,0.64603706554163,7.165057712561993,-2.6191784524357313,36,15,21,57.67080623420892,63.76326564157561,9526.033515040046,TRX/USDT
-27.55887466604976,50.887573964497044,0.8883962971672381,45.598548086558985,-0.46114296576663383,169,86,83,255.08866689418028,297.5122026446323,7244.112533395024,LINK/USDT
-39.7258059988592,45.18518518518518,0.7334025188607433,48.97929845958557,-1.7312147517124978,135,61,74,179.1551256016404,201.36544948089167,6027.41940011408,ATOM/USDT
-22.173209253904325,51.78571428571429,0.8984585843433456,40.570738137298896,-0.29386579742783214,168,87,81,225.50914146004527,269.5878547211651,7782.679074609568,UNI/USDT
-17.139115219072735,43.75,0.8860323847538363,34.52374964592863,-0.558497478992236,144,63,81,211.1141907221049,185.32045661379735,8286.088478092726,LTC/USDT
57.644071382611294,43.66197183098591,1.2598737471201478,31.058479034607277,1.682782429099786,142,62,80,472.1503993610615,290.43907005860245,15764.40713826113,XLM/USDT
27.70320106451316,45.45454545454545,1.1448238781551767,40.753240058564955,1.3390572379796866,88,40,48,547.4802650638543,398.51855200214277,12770.320106451316,NEAR/USDT
15.753456544945237,50.81967213114754,1.100445764911922,41.215937325328994,0.8023336268430528,122,62,60,276.39275498332813,259.5365041356356,11575.345654494524,ALGO/USDT
-6.990238382042898,47.96747967479675,0.9536233956709879,28.964089752528533,-0.028154992165086604,123,59,64,220.46830625470164,213.12839088385255,9300.97616179571,BCH/USDT
25.439251148323383,44.537815126050425,1.0883435395170993,47.871109142511784,0.9900837914140086,119,53,66,591.3160422555218,436.3003806774292,12543.925114832338,FIL/USDT
-50.73810190707534,42.241379310344826,0.737459526038696,61.81818749749044,-1.3619648172098389,116,49,67,290.8573623415115,288.44508873793427,4926.189809292467,ARB/USDT
38.42650818168008,49.152542372881356,1.1943220485879136,34.15129471074353,1.2924936267326614,118,58,60,407.19487009004433,329.5775274509095,13842.650818168007,OP/USDT
-26.99238154736618,49.01960784313725,0.8630457711234046,46.14686081323475,-0.7284364242257038,153,75,78,226.79753119557105,252.68016659492875,7300.761845263382,APT/USDT
-6.147816564601762,46.0,0.9647895751090529,29.416928711524832,0.09549190529117779,150,69,81,244.1367429576184,215.55823358686223,9385.218343539824,SUI/USDT
-28.439498837168557,50.76923076923077,0.8571964939998431,39.73151030364798,-0.6744217033975237,130,66,64,258.65419084601575,311.1738512430296,7156.050116283144,INJ/USDT
-27.29098639707893,48.484848484848484,0.907164766473601,63.77531992304779,-0.31589977004820635,99,48,51,555.5860537650882,576.4162592241594,7270.901360292107,SEI/USDT
-30.981638738034263,39.77272727272727,0.6267368685194817,33.97023080634821,-2.5312952236502477,88,35,53,148.63000392748728,156.60781153331098,6901.836126196574,RUNE/USDT
-73.39917204671684,38.46153846153847,0.6123276572617266,75.72923618033171,-2.1489169604890246,130,50,80,231.3624273710396,236.15055663751096,2660.082795328316,FET/USDT
57.290166235449234,47.72727272727273,1.3747872512825312,26.597742009152075,1.8180837965132008,132,63,69,333.57248443956996,221.53695501663745,15729.016623544923,GRT/USDT
-15.634537078455468,46.043165467625904,0.8956101374439731,36.81303226454861,-0.3184005184617083,139,64,75,209.58766910605743,199.6941937417763,8436.546292154453,SAND/USDT
-2.9547551603049214,44.66019417475729,0.97429257370176,29.13903079459284,0.17926011065074846,103,46,57,273.9064498207145,226.87980628013477,9704.524483969508,MANA/USDT
-52.428698048207934,37.878787878787875,0.5553424055458805,56.02120433886739,-2.771925839048137,66,25,41,261.9173013740993,287.5805448578848,4757.130195179207,AXS/USDT
-38.86896118515798,48.61111111111111,0.6699423460149545,52.27236966945797,-1.308439620482569,72,35,37,225.41484347310657,318.281503785798,6113.103881484202,THETA/USDT
7.719693186760597,38.88888888888889,1.0643402262608657,35.3433030112207,0.8121287680769181,54,21,33,608.1050889678816,363.5829560499834,10771.96931867606,XTZ/USDT
-39.90568328704487,44.95412844036697,0.8382866662118609,68.88599923308519,-0.7388255503617615,109,49,60,422.16808585681963,411.2800755948108,6009.431671295512,WIF/USDT
-58.39633087135256,40.67796610169492,0.517179921722053,63.92806502183211,-2.6992235424054427,118,48,70,130.31687504509645,172.78347270428412,4160.366912864743,AAVE/USDT
-12.796884268958983,0.0,0.0,12.796884268958983,-546267994030001.44,71,0,71,0.0,17.789975981066828,8720.311573104102,MKR/USDT
5.248691062009256,41.42857142857143,1.019314301977143,53.44892001179701,0.6897296244523359,70,29,41,955.1731669418165,662.8086032954086,10524.869106200926,SNX/USDT
-58.41458664339216,39.130434782608695,0.5663852832987477,67.10323381675799,-4.1920587233837034,69,27,42,282.59566171498045,320.7509888248498,4158.541335660784,CRV/USDT
-21.311635657416293,42.15686274509804,0.8814414984530818,53.62242991054428,-0.6117260579664754,102,43,59,368.4759260394224,304.6716675497762,7868.836434258371,LDO/USDT
-23.266700927772764,49.18032786885246,0.7710775867396547,41.399955162424575,-1.0563035762122062,61,30,31,261.23016014130684,327.8572547424672,7673.329907222724,IMX/USDT
-53.96433999391821,36.84210526315789,0.385782074534647,59.5279357199148,-3.173084937862484,38,14,24,242.10200798931186,366.07758796842455,4603.566000608179,RENDER/USDT
34.55926084336704,45.3125,1.1796035539074161,32.18578065625276,1.0623978595738703,128,58,70,391.3430252002438,274.88527681824917,13455.926084336705,APE/USDT
-23.72690213951486,45.27027027027027,0.8307189766554833,41.827674921890704,-0.40273463114007446,148,67,81,172.72145946098533,171.98158669432567,7627.309786048514,CHZ/USDT
-33.208539689397206,46.51162790697674,0.8235149758938017,37.45895614534296,-0.6034989799612593,172,80,92,193.69724074524066,204.52862204955406,6679.14603106028,EGLD/USDT
-17.832453584702634,48.717948717948715,0.7694583264667325,37.92988079577535,-1.5056822185897012,39,19,20,313.25150304061356,386.75119581209594,8216.754641529737,FLOW/USDT
29.929696638646746,50.920245398773,1.0897200117940058,46.288287281406575,0.9137231456134205,163,83,80,437.975509976205,416.98747080200417,12992.969663864675,ICP/USDT
63.674341025644466,50.993377483443716,1.2259807897473238,36.631656714795604,1.424303844457997,151,77,74,405.47632163826506,344.14450407565323,16367.434102564446,HBAR/USDT
-31.47294867186122,45.689655172413794,0.7404748719852102,51.04684286739215,-1.2770872727836464,116,53,63,176.9500998421489,201.03691298502355,6852.705132813878,QNT/USDT
